F1,F2,F3,F4,F5,F6,P1,LI,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
-0.00039125,3659.3,4460.5,9.2312,27.082,41.963,2860.6,75.923,120.41,0.23729,76.625,48.581,2784.5,24.265,50.219,3285.9,22.852,65.342,313.65,317.68,95.401,75.146
0.0010119,3647.8,4492.4,9.3611,26.718,41.94,2860.8,76.224,120.37,0.23709,76.561,49.492,2784.2,23.802,48.831,3288.3,21.906,65.451,317.42,316.92,95.581,74.6
0.0016893,3642.3,4484.5,9.1926,26.842,41.98,2857.8,76.033,120.36,0.25543,76.249,51.402,2779.9,24.347,49.23,3287.1,22.811,65.481,323.22,315.58,95.564,74.453
0.0011137,3646.7,4466.1,9.193,27.215,41.929,2858.3,75.555,120.4,0.25513,76.251,51.618,2781,26.059,49.812,3288.2,22.055,65.526,326.72,315.28,95.575,74.355
0.00025211,3666.8,4404.1,9.3956,27.114,42.243,2857.1,76.458,120.4,0.25777,76.21,49.312,2780.2,26.349,50.963,3288.4,23.681,65.592,330.18,314.32,95.802,74.879
0.0011223,3615.9,4400.5,9.2603,26.999,42.123,2861.2,76.319,120.4,0.257,76.528,50.683,2782.8,26.776,49.163,3293.4,22.829,65.721,334.74,313.42,95.552,74.964
-0.00097684,3600.3,4462.7,9.1595,26.951,41.973,2864.2,74.865,120.37,0.24122,76.757,50.1,2786.3,24.997,49.721,3296.1,21.473,65.938,339.29,313.32,95.877,74.875
-0.0015737,3621.2,4477.7,9.2116,26.86,42.102,2861.8,76.495,120.37,0.24233,76.515,50.231,2784.1,27.162,47.917,3296.2,22.333,66.162,342.23,312.03,95.561,74.353
-0.00022464,3590.5,4480.1,9.236,27.208,42.491,2863.3,75.868,120.4,0.24157,76.379,49.491,2784.1,24.206,49.038,3297.3,23.419,66.257,352.24,311.57,96.051,74.781
0.0018865,3604.6,4434.6,9.3464,27.169,41.911,2866.3,75.736,120.38,0.24028,76.581,51.367,2788.5,26.326,48.123,3300.2,22.717,66.445,356.6,311.81,95.646,74.805
0.0010974,3585.1,4411.6,9.1389,26.945,42.061,2867.9,76.544,120.4,0.23258,76.502,50.228,2789.5,22.583,47.558,3302.2,21.623,66.635,361.4,311.01,96.047,74.452
-0.00012814,3594.3,4387.8,9.2389,26.808,42.138,2867.6,75.757,120.36,0.23015,76.226,50.243,2787.9,26.486,47.688,3304.2,21.962,66.749,367.52,309.73,95.79,73.908
-0.00039189,3607.9,4386.8,9.2941,26.771,42.334,2868.9,74.861,120.4,0.24394,76.112,51.36,2789.4,24.337,51.08,3307.8,23.562,66.785,372.1,308.98,95.986,74.365
-0.00046939,3638.2,4389.6,9.2642,26.946,42.197,2871.5,75.397,120.37,0.24272,76.266,52.409,2792.9,25.73,48.486,3310.2,22.277,66.916,376.65,308.61,95.764,74.611
-0.0023394,3682.1,4407.1,9.2593,26.707,42.153,2872.7,74.899,120.46,0.23477,76.224,50.903,2792.3,24.235,48.858,3312.8,23.386,67.089,381.96,307.44,95.819,74.445
0.00014642,3627.9,4366.6,9.378,27.022,42.06,2871.6,76.453,120.38,0.23489,76.165,50.666,2792.2,24.387,50.322,3315.8,22.818,67.242,387.29,307.1,95.752,74.237
0.00099212,3604.1,4332.1,9.2006,26.621,42.045,2875.7,75.672,120.42,0.24221,76.23,50.476,2796.9,25.291,49.338,3317,21.923,67.365,393.19,306.98,95.851,74.778
0.00074865,3625,4330.8,9.1863,26.572,41.736,2876.8,74.797,120.4,0.24233,76.341,50.684,2797.2,25.209,49.141,3319.5,22.58,67.6,402.38,305.51,95.712,74.474
0.0010778,3605.9,4368.9,9.2151,26.929,42.338,2877.4,75.895,120.39,0.24941,76.257,50.192,2797.4,24.263,50.76,3321.4,23.04,67.825,406.13,305.64,95.92,74.138
0.00032803,3562.8,4376.9,9.145,26.916,42.039,2877.6,74.892,120.35,0.24225,76.024,52.038,2797.5,24.765,50.433,3322.2,22.528,67.993,415.47,304.8,95.985,73.85
0.00084626,3541.1,4338.6,9.2949,26.876,42.257,2881.4,75.127,120.41,0.22962,76.098,47.28,2801.8,26.365,49.623,3325.1,23.003,68.122,421.49,304.64,96.077,74.558
-0.0014276,3581,4292.8,9.1502,26.74,42.403,2883.7,75.257,120.38,0.22915,76.072,49.478,2803.3,25.947,50.685,3329.8,22.667,68.354,426.32,304.29,96.011,74.066
0.0014792,3608.9,4311.6,9.3186,26.93,41.843,2887.4,75.261,120.42,0.22557,75.991,49.951,2806.8,24.047,51.302,3332.7,21.897,68.537,434.85,304.08,96.16,74.055
-0.0012157,3594.9,4373.6,9.2915,26.799,42.132,2890.2,75.9,120.39,0.22679,75.885,48.973,2809.3,25.706,50.745,3336.7,22.634,68.701,441.48,303.35,96.004,73.902
-0.0020676,3554.9,4265.1,9.3831,27.254,42.139,2892.8,76.039,120.41,0.21927,75.798,49.931,2811.4,27.176,49.579,3340.6,22.339,68.795,440.81,303.21,95.987,74.036
0.00020813,3591.6,4280,9.3148,26.952,42.101,2895.7,75.379,120.39,0.21792,75.759,50.969,2814.9,26.085,50.359,3344.6,22.276,68.805,441.85,302.9,96.014,74.217
-0.00213,3626.4,4282.1,9.2636,26.92,41.995,2901.3,75.451,120.39,0.23691,75.957,50.519,2820.5,25.083,50.314,3348.4,21.904,68.859,440.21,303.34,95.897,74.267
0.00070711,3596.2,4292.9,9.4007,26.866,42.407,2903,74.59,120.41,0.23793,75.794,49.926,2822.6,25.577,50.457,3350.4,22.598,68.879,438.76,302.9,96.008,73.958
-0.001698,3601.5,4302.3,9.2993,27.118,42.221,2903.4,74.857,120.39,0.23182,75.591,50.932,2822.8,26.482,50.344,3352.5,22.566,68.856,441.38,302.4,95.944,73.705
-0.00067859,3595.4,4269,9.3259,26.742,42.068,2906.6,75.005,120.4,0.22943,75.461,51.014,2826.3,23.517,49.623,3354.6,22.944,68.761,443.24,303.07,96.099,73.85
-0.0017008,3617.1,4235.8,9.3452,26.72,42.326,2908.7,74.931,120.38,0.23556,75.305,50.786,2827.6,25.88,50.185,3358.8,23.1,68.677,443.68,302.13,95.909,73.721
-0.00015042,3619.5,4275.4,9.3998,26.722,41.883,2912.3,74.537,120.42,0.23738,75.193,49.136,2831.5,25.214,49.868,3360.8,22.01,68.58,445.02,302.65,96.057,73.44
0.001212,3643.1,4185.4,9.4433,26.661,41.885,2916.1,74.164,120.38,0.23512,75.175,52.114,2834.9,27.91,49.592,3363.9,21.373,68.513,444.03,302.44,95.983,73.857
-0.00011538,3591.5,4198.6,9.4072,26.912,42.225,2917.9,74.807,120.43,0.23561,74.927,50.758,2836.1,27.122,50.832,3368.2,22.233,68.41,444.7,301.96,95.912,73.744
-0.0015843,3606.3,4217.3,9.466,26.985,41.93,2923.4,73.138,120.39,0.25273,75.018,50.753,2842.4,27.245,50.298,3371.1,22.803,68.385,447.3,303.02,95.998,73.596
-0.00064753,3552.9,4208.8,9.4293,26.921,42.263,2925.8,73.877,120.4,0.25132,74.798,52.703,2844.9,24.849,48.803,3374.6,22.499,68.325,446.43,302.98,95.897,73.517
-0.00031696,3559.8,4256.9,9.5359,26.781,42.468,2930.8,74.174,120.39,0.23891,74.759,50.615,2849.9,25.5,49.032,3380.2,23.219,68.215,450.73,302.96,96.041,73.725
-0.00011262,3602.1,4257.3,9.4719,26.976,42.127,2936.5,74.325,120.41,0.23811,74.713,49.211,2855.1,26.029,50.462,3387.3,23.57,68.155,452.29,303.02,95.937,73.867
-0.0015232,3531.3,4266.7,9.6176,27.279,42.149,2944.3,73.842,120.4,0.22632,74.747,50.293,2863.3,26.875,49.959,3393.2,22.716,68.162,449.54,303.39,96.154,73.587
-0.00028591,3541.6,4236.8,9.6132,26.68,42.666,2948.9,73.408,120.42,0.22845,74.422,54.255,2867.5,25.328,51.76,3398,23.606,68.078,450.86,303.8,95.839,73.372
0.00076757,3608.4,4149.1,9.4986,26.437,42.424,2955.5,75.016,120.43,0.23946,74.391,50.626,2874.9,25.174,49.653,3404.8,22.498,68.01,453.12,304.23,96.077,73.577
-0.00065713,3579.6,4204.1,9.5146,27.113,42.193,2958.4,74.294,120.42,0.23936,74.198,51.137,2877.9,25.435,50.625,3409,22.801,67.93,454.28,304.66,95.698,73.596
-0.0015881,3609.2,4187.8,9.5927,26.948,42.267,2965.6,74.404,120.43,0.21661,74.189,51.218,2886.2,25.627,49.505,3412.9,22.898,67.893,454.92,306.1,95.956,73.473
-0.0021731,3526.6,4188,9.5766,26.946,42.217,2970.1,73.72,120.36,0.21921,73.931,48.978,2888.9,27.701,48.486,3417.9,22.902,67.847,455.71,305.35,95.764,73.419
0.00017819,3572.4,4231.6,9.5633,26.758,42.64,2976.1,73.555,120.46,0.21779,73.76,49.178,2896.2,25.485,48.137,3424.2,22.618,67.74,458.03,306.76,95.885,73.201
-0.0013593,3555.3,4250.2,9.5723,26.932,42.424,2980.7,73.352,120.37,0.21579,73.431,49.878,2899.8,26.908,48.963,3428.2,22.864,67.61,460.19,306.54,95.764,73.192
-0.00050458,3588.7,4252.5,9.5853,27.182,42.497,2987.8,74.106,120.44,0.21939,73.267,50.598,2907.7,25.073,49.441,3433.8,23.162,67.479,459.61,307.35,95.91,73.142
-0.0011865,3615,4226.8,9.7633,26.679,42.422,2993.5,72.643,120.38,0.21961,73.154,51.194,2913.6,25.124,51.205,3439.5,22.611,67.375,461.21,307.65,95.686,73.17
0.0003304,3610.9,4205.8,9.6385,27.241,42.274,2999.8,73.775,120.43,0.2048,73.011,49.587,2920.4,27.149,47.793,3445.1,22.361,67.313,460.22,308.41,95.689,73.115
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
0,3626.6,4257.7,9.7034,26.805,42.371,3000,73.767,120.43,0.20513,73.004,50.29,2920.4,24.709,49.768,3445.9,22.368,67.305,462.94,308.35,95.67,73.081
